rayon_id,rayon_name,year,facilities,rooms,beds,total_guests,domestic_tourists,foreign_tourists,total_nights,domestic_nights,foreign_nights,occupancy_rate,avg_stay,revenue_azn,employees,travel_agencies,population,area_km2
bilasuvar,Bilasuvar,2022,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2023,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2024,,,,,,,,,,,,,,,,
bilasuvar,Bilasuvar,2025,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2005,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2010,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2015,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2019,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2020,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2021,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2022,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2023,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2024,,,,,,,,,,,,,,,,
dashkasan,Dashkasan,2025,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2005,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2010,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2015,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2019,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2020,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2021,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2022,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2023,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2024,,,,,,,,,,,,,,,,
fuzuli,Fuzuli,2025,,,,,,,,,,,,,,,,
gadabay,Gadabay,2005,,,,,,,,,,,,,,,,
gadabay,Gadabay,2010,,,,,,,,,,,,,,,,
gadabay,Gadabay,2015,,,,,,,,,,,,,,,,
gadabay,Gadabay,2019,,,,,,,,,,,,,,,,
gadabay,Gadabay,2020,,,,,,,,,,,,,,,,
gadabay,Gadabay,2021,,,,,,,,,,,,,,,,
gadabay,Gadabay,2022,,,,,,,,,,,,,,,,
gadabay,Gadabay,2023,,,,,,,,,,,,,,,,
gadabay,Gadabay,2024,,,,,,,,,,,,,,,,
gadabay,Gadabay,2025,,,,,,,,,,,,,,,,
ganja,Ganja,2005,,,,,,,,,,,,,,,,
ganja,Ganja,2010,,,,,,,,,,,,,,,,
ganja,Ganja,2015,,,,,,,,,,,,,,,,
ganja,Ganja,2019,,,,,,,,,,,,,,,,
ganja,Ganja,2020,,,,,,,,,,,,,,,,
ganja,Ganja,2021,,,,,,,,,,,,,,,,
ganja,Ganja,2022,,,,,,,,,,,,,,,,
ganja,Ganja,2023,,,,,,,,,,,,,,,,
ganja,Ganja,2024,,,,,,,,,,,,,,,,
ganja,Ganja,2025,,,,,,,,,,,,,,,,
goranboy,Goranboy,2005,,,,,,,,,,,,,,,,
goranboy,Goranboy,2010,,,,,,,,,,,,,,,,
goranboy,Goranboy,2015,,,,,,,,,,,,,,,,
goranboy,Goranboy,2019,,,,,,,,,,,,,,,,
goranboy,Goranboy,2020,,,,,,,,,,,,,,,,
goranboy,Goranboy,2021,,,,,,,,,,,,,,,,
goranboy,Goranboy,2022,,,,,,,,,,,,,,,,
goranboy,Goranboy,2023,,,,,,,,,,,,,,,,
goranboy,Goranboy,2024,,,,,,,,,,,,,,,,
goranboy,Goranboy,2025,,,,,,,,,,,,,,,,
goychay,Goychay,2005,,,,,,,,,,,,,,,,
goychay,Goychay,2010,,,,,,,,,,,,,,,,
goychay,Goychay,2015,,,,,,,,,,,,,,,,
goychay,Goychay,2019,,,,,,,,,,,,,,,,
goychay,Goychay,2020,,,,,,,,,,,,,,,,
goychay,Goychay,2021,,,,,,,,,,,,,,,,
goychay,Goychay,2022,,,,,,,,,,,,,,,,
goychay,Goychay,2023,,,,,,,,,,,,,,,,
goychay,Goychay,2024,,,,,,,,,,,,,,,,
goychay,Goychay,2025,,,,,,,,,,,,,,,,
goygol,Goygol,2005,,,,,,,,,,,,,,,,
goygol,Goygol,2010,,,,,,,,,,,,,,,,
goygol,Goygol,2015,,,,,,,,,,,,,,,,
goygol,Goygol,2019,,,,,,,,,,,,,,,,
goygol,Goygol,2020,,,,,,,,,,,,,,,,
goygol,Goygol,2021,,,,,,,,,,,,,,,,
goygol,Goygol,2022,,,,,,,,,,,,,,,,
goygol,Goygol,2023,,,,,,,,,,,,,,,,
goygol,Goygol,2024,,,,,,,,,,,,,,,,
goygol,Goygol,2025,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2005,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2010,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2015,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2019,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2020,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2021,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2022,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2023,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2024,,,,,,,,,,,,,,,,
hajigabul,Hajigabul,2025,,,,,,,,,,,,,,,,
imishli,Imishli,2005,,,,,,,,,,,,,,,,
imishli,Imishli,2010,,,,,,,,,,,,,,,,
imishli,Imishli,2015,,,,,,,,,,,,,,,,
imishli,Imishli,2019,,,,,,,,,,,,,,,,
imishli,Imishli,2020,,,,,,,,,,,,,,,,
imishli,Imishli,2021,,,,,,,,,,,,,,,,
imishli,Imishli,2022,,,,,,,,,,,,,,,,
imishli,Imishli,2023,,,,,,,,,,,,,,,,
imishli,Imishli,2024,,,,,,,,,,,,,,,,
imishli,Imishli,2025,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2005,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2010,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2015,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2019,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2020,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2021,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2022,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2023,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2024,,,,,,,,,,,,,,,,
ismayilli,Ismayilli,2025,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2005,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2010,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2015,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2019,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2020,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2021,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2022,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2023,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2024,,,,,,,,,,,,,,,,
jabrayil,Jabrayil,2025,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2005,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2010,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2015,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2019,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2020,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2021,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2022,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2023,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2024,,,,,,,,,,,,,,,,
jalilabad,Jalilabad,2025,,,,,,,,,,,,,,,,
julfa,Julfa,2005,,,,,,,,,,,,,,,,
julfa,Julfa,2010,,,,,,,,,,,,,,,,
julfa,Julfa,2015,,,,,,,,,,,,,,,,
julfa,Julfa,2019,,,,,,,,,,,,,,,,
