page_number,section_id,indicator,region_name,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023
52,5.3,Number of rooms in hotels and similar establishments (units),Füzuli rayonu,10.0,10.0,10.0,10.0,10.0,10.0
52,5.3,Number of rooms in hotels and similar establishments (units),Xocalı rayonu,,,,,,
52,5.3,Number of rooms in hotels and similar establishments (units),Xocavənd rayonu,,,,,,
52,5.3,Number of rooms in hotels and similar establishments (units),Şuşa rayonu,,,,137.0,137.0,137.0
52,5.3,Number of rooms in hotels and similar establishments (units),Tərtər rayonu,15.0,15.0,15.0,24.0,48.0,48.0
52,5.3,Number of rooms in hotels and similar establishments (units),rayonu,482.0,491.0,491.0,500.0,505.0,477.0
52,5.3,Number of rooms in hotels and similar establishments (units),Ağstafa rayonu,77.0,77.0,77.0,77.0,77.0,77.0
52,5.3,Number of rooms in hotels and similar establishments (units),Gədəbəy rayonu,106.0,106.0,106.0,106.0,111.0,111.0
52,5.3,Number of rooms in hotels and similar establishments (units),Qazax rayonu,100.0,100.0,100.0,81.0,81.0,81.0
52,5.3,Number of rooms in hotels and similar establishments (units),Şəmkir rayonu,66.0,75.0,75.0,103.0,103.0,75.0
52,5.3,Number of rooms in hotels and similar establishments (units),Tovuz rayonu,133.0,133.0,133.0,133.0,133.0,133.0
52,5.3,Number of rooms in hotels and similar establishments (units),rayonu,4.0,107.0,4.0,323.0,4.0,363.0
52,5.3,Number of rooms in hotels and similar establishments (units),Xaçmaz rayonu,2405.0,2.0,405.0,2.0,405.0,2.0
52,5.3,Number of rooms in hotels and similar establishments (units),Quba rayonu,675.0,710.0,750.0,750.0,789.0,825.0
52,5.3,Number of rooms in hotels and similar establishments (units),Qusar rayonu,981.0,991.0,991.0,991.0,991.0,940.0
52,5.3,Number of rooms in hotels and similar establishments (units),Siyəzən rayonu,,,,,,
52,5.3,Number of rooms in hotels and similar establishments (units),Şabran rayonu,46.0,217.0,217.0,217.0,366.0,320.0
52,5.3,Number of rooms in hotels and similar establishments (units),rayonu,1.0,274.0,1.0,480.0,1.0,480.0
52,5.3,Number of rooms in hotels and similar establishments (units),Astara rayonu,116.0,116.0,116.0,162.0,214.0,252.0
52,5.3,Number of rooms in hotels and similar establishments (units),Cəlilabad rayonu,67.0,67.0,67.0,67.0,91.0,91.0
52,5.3,Number of rooms in hotels and similar establishments (units),Lerik rayonu,187.0,187.0,187.0,187.0,187.0,187.0
52,5.3,Number of rooms in hotels and similar establishments (units),Lənkəran rayonu,430.0,636.0,636.0,664.0,683.0,745.0
53,5.3,Number of rooms in hotels and similar establishments (units),Masallı rayonu,453.0,453.0,453.0,453.0,443.0,482.0
53,5.3,Number of rooms in hotels and similar establishments (units),Yardımlı rayonu,21.0,21.0,21.0,21.0,42.0,42.0
53,5.3,Number of rooms in hotels and similar establishments (units),rayonu,572.0,577.0,577.0,658.0,658.0,693.0
53,5.3,Number of rooms in hotels and similar establishments (units),Mingəçevir şəhəri,249.0,254.0,254.0,254.0,254.0,254.0
53,5.3,Number of rooms in hotels and similar establishments (units),Ağdaş rayonu,22.0,22.0,22.0,22.0,22.0,22.0
53,5.3,Number of rooms in hotels and similar establishments (units),Göyçay rayonu,73.0,73.0,73.0,154.0,154.0,154.0
53,5.3,Number of rooms in hotels and similar establishments (units),Kürdəmir rayonu,130.0,130.0,130.0,130.0,130.0,165.0
53,5.3,Number of rooms in hotels and similar establishments (units),Ucar rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Yevlax rayonu,87.0,87.0,87.0,87.0,87.0,87.0
53,5.3,Number of rooms in hotels and similar establishments (units),Zərdab rayonu,11.0,11.0,11.0,11.0,11.0,11.0
53,5.3,Number of rooms in hotels and similar establishments (units),rayonu,156.0,156.0,156.0,156.0,175.0,219.0
53,5.3,Number of rooms in hotels and similar establishments (units),Beyləqan rayonu,78.0,78.0,78.0,78.0,78.0,92.0
53,5.3,Number of rooms in hotels and similar establishments (units),İmişli rayonu,22.0,22.0,22.0,22.0,22.0,37.0
53,5.3,Number of rooms in hotels and similar establishments (units),Saatlı rayonu,16.0,16.0,16.0,16.0,35.0,50.0
53,5.3,Number of rooms in hotels and similar establishments (units),Sabirabad rayonu,40.0,40.0,40.0,40.0,40.0,40.0
53,5.3,Number of rooms in hotels and similar establishments (units),rayonu,1.0,948.0,1.0,999.0,2.0,37.0
53,5.3,Number of rooms in hotels and similar establishments (units),Balakən rayonu,95.0,95.0,95.0,95.0,95.0,95.0
53,5.3,Number of rooms in hotels and similar establishments (units),Qax rayonu,254.0,254.0,292.0,292.0,331.0,331.0
53,5.3,Number of rooms in hotels and similar establishments (units),Qəbələ rayonu,1.0,97.0,1.0,127.0,1.0,127.0
53,5.3,Number of rooms in hotels and similar establishments (units),Oğuz rayonu,62.0,62.0,62.0,62.0,62.0,62.0
53,5.3,Number of rooms in hotels and similar establishments (units),Şəki rayonu,262.0,283.0,283.0,283.0,354.0,354.0
53,5.3,Number of rooms in hotels and similar establishments (units),Zaqatala rayonu,178.0,178.0,178.0,178.0,178.0,223.0
53,5.3,Number of rooms in hotels and similar establishments (units),rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Cəbrayıl rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Kəlbəcər rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Qubadlı rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Laçın rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Zəngilan rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),rayonu,239.0,239.0,239.0,239.0,253.0,203.0
53,5.3,Number of rooms in hotels and similar establishments (units),Şirvan şəhəri,106.0,106.0,106.0,106.0,126.0,76.0
53,5.3,Number of rooms in hotels and similar establishments (units),Biləsuvar rayonu,45.0,45.0,45.0,45.0,39.0,39.0
53,5.3,Number of rooms in hotels and similar establishments (units),Hacıqabul rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Neftçala rayonu,,,,,,
53,5.3,Number of rooms in hotels and similar establishments (units),Salyan rayonu,88.0,88.0,88.0,88.0,88.0,88.0
53,5.3,Number of rooms in hotels and similar establishments (units),Ölkə üzrə - cəmi,3.0,2.0,959.0,3.0,345.0,285.0
53,5.3,Number of rooms in hotels and similar establishments (units),Bakı şəhəri,1.0,776.0,123.0,1.0,931.0,624.0
53,5.3,Number of rooms in hotels and similar establishments (units),Binəqədi rayonu,8.0,195.0,12.0,145.0,5.0,946.0
53,5.3,Number of rooms in hotels and similar establishments (units),Xətai rayonu,27.0,801.0,31.0,411.0,5.0,998.0
