file,title,region,year,value
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2015,1076.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2016,1153.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2017,1820.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2018,1978.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2019,2439.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2020,262.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2021,134.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2022,1333.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2023,429.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Sabunçu rayonu,2024,667.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2006,974.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2007,647.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2008,1879.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2009,4171.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2010,12027.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2011,10454.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2012,20040.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2013,18806.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2014,17765.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2015,8767.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2016,12185.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2017,9058.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2018,9823.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2019,13525.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2020,1582.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2021,2291.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2022,4767.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2023,10462.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Səbail rayonu,2024,11906.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2006,2.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2007,39.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2008,5.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2009,127.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2010,111.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2011,240.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2012,99.0
004_1.xls,4.1  Satılmış turizm zərflərinin iqtisadi rayonlar və inzibati ərazi vahidləri ü,Suraxanı rayonu,2013,91.0
